;id;Nummer;Lid;Opsomming niveau 1;Opsomming niveau 2;Opsomming niveau 3;Zin;Versie;jci 1.3;Brontekst;Action;Object;Actor;Recipient;Opmerkingen;Action 2;Object 2;Actor 2;Recipient 2;Action 3;Object 3;Actor 3;Recipient 3;tokens;srl_tags
398;50;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_39;;;;;een bedrijf waarop een aanbestedende dienst rechtstreeks of middellijk een overheersende invloed kan uitoefenen uit hoofde van eigendom ,  financile deelneming of de op het bedrijf van toepassing zijnde voorschriften;kan uitoefenen;overheersende invloed ;een aanbestedende dienst;een bedrijf;;;;;;;;;;['een', 'bedrijf', 'waarop', 'een', 'aanbestedende', 'dienst', 'rechtstreeks', 'of', 'middellijk', 'een', 'overheersende', 'invloed', 'kan', 'uitoefenen', 'uit', 'hoofde', 'van', 'eigendom', ',', 'financile', 'deelneming', 'of', 'de', 'op', 'het', 'bedrijf', 'van', 'toepassing', 'zijnde', 'voorschriften'];['REC', 'REC', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'O', 'OBJ', 'OBJ', 'V', 'V', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
400;52;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_41;;;;;een schriftelijke overeenkomst onder bezwarende titel die is gesloten tussen een of meer dienstverleners en een of meer aanbestedende diensten en die betrekking heeft op het verlenen van andere diensten dan die welke vallen onder overheidsopdracht voor werken;is gesloten;;een schriftelijke overeenkomst onder bezwarende titel;betrekking heeft;;het verlenen van andere diensten;een schriftelijke overeenkomst onder bezwarende titel;;;;;;;['een', 'schriftelijke', 'overeenkomst', 'onder', 'bezwarende', 'titel', 'die', 'is', 'gesloten', 'tussen', 'een', 'of', 'meer', 'dienstverleners', 'en', 'een', 'of', 'meer', 'aanbestedende', 'diensten', 'en', 'die', 'betrekking', 'heeft', 'op', 'het', 'verlenen', 'van', 'andere', 'diensten', 'dan', 'die', 'welke', 'vallen', 'onder', 'overheidsopdracht', 'voor', 'werken'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'REC', 'REC', 'O', 'V', 'V', 'V', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
401;53;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_42;;;18-4-2019;jci1.3:c:BWBR0032203&deel=1&hoofdstuk=1.1&artikel=1.1&z=2019-04-18&g=2019-04-18;een schriftelijke overeenkomst onder bezwarende titel die is gesloten tussen een of meer leveranciers en een of meer aanbestedende diensten en die betrekking heeft op : overheidsopdracht voor leveringen : ;is gesloten;;een schriftelijke overeenkomst onder bezwarende titel;een of meer leveranciers en een of meer aanbestedende diensten;;betrekking heeft ;overheidsopdracht voor leveringen;;;;;;;['een', 'schriftelijke', 'overeenkomst', 'onder', 'bezwarende', 'titel', 'die', 'is', 'gesloten', 'tussen', 'een', 'of', 'meer', 'leveranciers', 'en', 'een', 'of', 'meer', 'aanbestedende', 'diensten', 'en', 'die', 'betrekking', 'heeft', 'op', ':', 'overheidsopdracht', 'voor', 'leveringen', ':'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'V', 'V', 'O', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'O', 'O', 'V', 'V', 'O', ':', 'OBJ', 'OBJ', 'OBJ', ':']
403;55;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_42;Onderdeelb;;;;de levering van producten en die slechts zijdeling betrekking heeft op werkzaamheden voor het aanbrengen en installeren van die levering;zijdeling betrekking heeft;;de levering van producten;werkzaamheden voor het aanbrengen en installeren van die levering;;;;;;;;;;['de', 'levering', 'van', 'producten', 'en', 'die', 'slechts', 'zijdeling', 'betrekking', 'heeft', 'op', 'werkzaamheden', 'voor', 'het', 'aanbrengen', 'en', 'installeren', 'van', 'die', 'levering'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'V', 'V', 'V', 'O', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC']
404;56;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_43;;;18-4-2019;jci1.3:c:BWBR0032203&deel=1&hoofdstuk=1.1&artikel=1.1&z=2019-04-18&g=2019-04-18;een schriftelijke overeenkomst onder bezwarende titel die is gesloten tussen een of meer aannemers en een of meer aanbestedende diensten en die betrekking heeft op : overheidsopdracht voor werken : ;is gesloten;een of meer aannemers en een of meer aanbestedende diensten;een schriftelijke overeenkomst onder bezwarende titel;:overheidsopdracht voor werken;;;;;;;;;;['een', 'schriftelijke', 'overeenkomst', 'onder', 'bezwarende', 'titel', 'die', 'is', 'gesloten', 'tussen', 'een', 'of', 'meer', 'aannemers', 'en', 'een', 'of', 'meer', 'aanbestedende', 'diensten', 'en', 'die', 'betrekking', 'heeft', 'op', ':', 'overheidsopdracht', 'voor', 'werken', ':'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'V', 'V', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'O', 'O', 'O', 'O', 'O', ':', 'REC', 'REC', 'REC', ':']
405;57;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_43;Onderdeela;;18-4-2019;jci1.3:c:BWBR0032203&deel=1&hoofdstuk=1.1&artikel=1.1&z=2019-04-18&g=2019-04-18;de uitvoering of het ontwerp en de uitvoering van werken die betrekking hebben op een van de in bijlage II van richtlijn 2014 / 24 / EU bedoelde activiteiten , ;betrekking hebben; een van de in bijlage II van richtlijn 2014/24/EU bedoelde activiteiten;de uitvoering of het ontwerp en de uitvoering van werken;;;;;;;;;;;['de', 'uitvoering', 'of', 'het', 'ontwerp', 'en', 'de', 'uitvoering', 'van', 'werken', 'die', 'betrekking', 'hebben', 'op', 'een', 'van', 'de', 'in', 'bijlage', 'II', 'van', 'richtlijn', '2014', '/', '24', '/', 'EU', 'bedoelde', 'activiteiten', ','];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'V', 'V', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', '2014', '/', '24', '/', 'OBJ', 'OBJ', 'OBJ', ',']
407;59;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_43;Onderdeelc;;;;het laten uitvoeren met welke middelen dan ook van een werk dat voldoet aan de eisen van de aanbestedende dienst die een beslissende invloed uitoefent op het soort werk of het ontwerp van het werk;voldoet;;een werk;de eisen van de aanbestedende dienst;;uitoefent;een beslissende invloed;de aanbestedende diens;het soort werk of het ontwerp van het werk;;;;;['het', 'laten', 'uitvoeren', 'met', 'welke', 'middelen', 'dan', 'ook', 'van', 'een', 'werk', 'dat', 'voldoet', 'aan', 'de', 'eisen', 'van', 'de', 'aanbestedende', 'dienst', 'die', 'een', 'beslissende', 'invloed', 'uitoefent', 'op', 'het', 'soort', 'werk', 'of', 'het', 'ontwerp', 'van', 'het', 'werk'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'O', 'V', 'O', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'O', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC']
408;60;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_44;;;;;procedure die tot doel heeft een aanbestedende dienst of een speciale - sectorbedrijf een plan of een ontwerp te verschaffen dat na een aankondiging van de opdracht door een jury wordt geselecteerd ,  al dan niet met toekenning van prijzen;heeft te verschaffen;een plan of een ontwerp;procedure;wordt geselecteerd;;;de opdracht; een jury;;;;;;['procedure', 'die', 'tot', 'doel', 'heeft', 'een', 'aanbestedende', 'dienst', 'of', 'een', 'speciale', '-', 'sectorbedrijf', 'een', 'plan', 'of', 'een', 'ontwerp', 'te', 'verschaffen', 'dat', 'na', 'een', 'aankondiging', 'van', 'de', 'opdracht', 'door', 'een', 'jury', 'wordt', 'geselecteerd', ',', 'al', 'dan', 'niet', 'met', 'toekenning', 'van', 'prijzen'];['ACTOR', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'OBJ', 'O', 'ACTOR', 'ACTOR', 'REC', 'REC', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
409;61;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_45;;;;;procedure waarbij alle ondernemers naar aanleiding van een aankondiging een verzoek mogen doen tot deelneming en waarbij de aanbestedende dienst of het speciale - sectorbedrijf een dialoog voert met de tot de procedure toegelaten ondernemers ,  teneinde een of meer oplossingen te zoeken die aan de behoeften van de aanbestedende dienst of het speciale - sectorbedrijf beantwoorden en op grond waarvan de geselecteerde ondernemers zullen worden uitgenodigd om in te schrijven; mogen doen ;een verzoek  tot deelneming;alle ondernemers;;;voert;een dialoog;de aanbestedende dienst of het speciale-sectorbedrijf ;;zullen worden uitgenodigd;;de geselecteerde ondernemers;;['procedure', 'waarbij', 'alle', 'ondernemers', 'naar', 'aanleiding', 'van', 'een', 'aankondiging', 'een', 'verzoek', 'mogen', 'doen', 'tot', 'deelneming', 'en', 'waarbij', 'de', 'aanbestedende', 'dienst', 'of', 'het', 'speciale', '-', 'sectorbedrijf', 'een', 'dialoog', 'voert', 'met', 'de', 'tot', 'de', 'procedure', 'toegelaten', 'ondernemers', ',', 'teneinde', 'een', 'of', 'meer', 'oplossingen', 'te', 'zoeken', 'die', 'aan', 'de', 'behoeften', 'van', 'de', 'aanbestedende', 'dienst', 'of', 'het', 'speciale', '-', 'sectorbedrijf', 'beantwoorden', 'en', 'op', 'grond', 'waarvan', 'de', 'geselecteerde', 'ondernemers', 'zullen', 'worden', 'uitgenodigd', 'om', 'in', 'te', 'schrijven'];['O', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'OBJ', 'V', 'V', 'OBJ', 'OBJ', 'O', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', '-', 'ACTOR', 'OBJ', 'OBJ', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'V', 'V', 'V', 'O', 'O', 'O', 'O']
410;62;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_46;;;;;procedure waarbij alle ondernemers een verzoek tot deelneming mogen indienen naar aanleiding van een aankondiging voor een opdracht die is gericht op de ontwikkeling en aanschaf van een innovatief product of werk of een innovatieve dienst welke niet reeds op de markt beschikbaar is en waarbij door middel van onderhandelingen met een of meer van hen naar definitieve inschrijvingen wordt toegewerkt; mogen indienen ;een verzoek  tot deelneming;alle ondernemers;;;is gericht;;een opdracht;;beschikbaar is;;een innovatieve dienst;;['procedure', 'waarbij', 'alle', 'ondernemers', 'een', 'verzoek', 'tot', 'deelneming', 'mogen', 'indienen', 'naar', 'aanleiding', 'van', 'een', 'aankondiging', 'voor', 'een', 'opdracht', 'die', 'is', 'gericht', 'op', 'de', 'ontwikkeling', 'en', 'aanschaf', 'van', 'een', 'innovatief', 'product', 'of', 'werk', 'of', 'een', 'innovatieve', 'dienst', 'welke', 'niet', 'reeds', 'op', 'de', 'markt', 'beschikbaar', 'is', 'en', 'waarbij', 'door', 'middel', 'van', 'onderhandelingen', 'met', 'een', 'of', 'meer', 'van', 'hen', 'naar', 'definitieve', 'inschrijvingen', 'wordt', 'toegewerkt'];['O', 'O', 'ACTOR', 'ACTOR', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'O', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
411;63;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_47;;;18-4-2019;jci1.3:c:BWBR0032203&deel=1&hoofdstuk=1.1&artikel=1.1&z=2019-04-18&g=2019-04-18;een instelling die specifiek ten doel heeft te voorzien in behoeften van algemeen belang ,  anders dan van industrile of commercile aard ,  die rechtspersoonlijkheid bezit en waarvan : publiekrechtelijke instelling : ;bezit;rechtspersoonlijkheid;een instelling die specifiek ten doel heeft te voorzien in behoeften van algemeen belang, anders dan van industrile of commercile aard;;;;;;;;;;;['een', 'instelling', 'die', 'specifiek', 'ten', 'doel', 'heeft', 'te', 'voorzien', 'in', 'behoeften', 'van', 'algemeen', 'belang', ',', 'anders', 'dan', 'van', 'industrile', 'of', 'commercile', 'aard', ',', 'die', 'rechtspersoonlijkheid', 'bezit', 'en', 'waarvan', ':', 'publiekrechtelijke', 'instelling', ':'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', ',', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', ',', 'O', 'OBJ', 'V', 'O', 'O', ':', 'O', 'O', ':']
422;76;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_56;;;;;voorzover die dienst ,  dat bedrijf of die instelling een activiteit uitoefent als bedoeld in de  ,  tenzij de desbetreffende activiteit op grond van  is uitgezonderd;uitoefent;een activiteit;die dienst, dat bedrijf of die instelling ;;;is uitgezonderd;;de desbetreffende activiteit;;;;;;['voorzover', 'die', 'dienst', ',', 'dat', 'bedrijf', 'of', 'die', 'instelling', 'een', 'activiteit', 'uitoefent', 'als', 'bedoeld', 'in', 'de', ',', 'tenzij', 'de', 'desbetreffende', 'activiteit', 'op', 'grond', 'van', 'is', 'uitgezonderd'];['O', 'ACTOR', 'ACTOR', ',', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'OBJ', 'OBJ', 'V', 'O', 'O', 'O', 'O', ',', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'V', 'V']
425;79;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_56;Onderdeelc;;18-4-2019;jci1.3:c:BWBR0032203&deel=1&hoofdstuk=1.1&artikel=1.1&z=2019-04-18&g=2019-04-18;een bedrijf of instelling waaraan door een aanbestedende dienst een bijzonder recht of een uitsluitend recht is verleend , ;is verleend; een bijzonder recht of een uitsluitend recht;een bedrijf of instelling ;een aanbestedende dienst ;;;;;;;;;;['een', 'bedrijf', 'of', 'instelling', 'waaraan', 'door', 'een', 'aanbestedende', 'dienst', 'een', 'bijzonder', 'recht', 'of', 'een', 'uitsluitend', 'recht', 'is', 'verleend', ','];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'O', 'REC', 'REC', 'REC', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'V', ',']
427;81;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_58;;;;;een schriftelijke overeenkomst onder bezwarende titel die is gesloten tussen een of meer dienstverleners en een of meer speciale - sectorbedrijven en die betrekking heeft op het verlenen van andere diensten dan die welke vallen onder speciale - sectoropdracht voor werken;is gesloten;;een schriftelijke overeenkomst onder bezwarende titel ; een of meer dienstverleners en een of meer speciale-sectorbedrijven;;betrekking heeft op;het verlenen van andere diensten dan die welke vallen onder speciale-sectoropdracht voor werken;een schriftelijke overeenkomst onder bezwarende titel ;;;;;;['een', 'schriftelijke', 'overeenkomst', 'onder', 'bezwarende', 'titel', 'die', 'is', 'gesloten', 'tussen', 'een', 'of', 'meer', 'dienstverleners', 'en', 'een', 'of', 'meer', 'speciale', '-', 'sectorbedrijven', 'en', 'die', 'betrekking', 'heeft', 'op', 'het', 'verlenen', 'van', 'andere', 'diensten', 'dan', 'die', 'welke', 'vallen', 'onder', 'speciale', '-', 'sectoropdracht', 'voor', 'werken'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'V', 'V', 'O', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', '-', 'REC', 'O', 'O', 'V', 'V', 'V', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', '-', 'OBJ', 'OBJ', 'OBJ']
428;82;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_59;;;18-4-2019;jci1.3:c:BWBR0032203&deel=1&hoofdstuk=1.1&artikel=1.1&z=2019-04-18&g=2019-04-18;een schriftelijke overeenkomst onder bezwarende titel die tussen een of meer leveranciers en een of meer speciale - sectorbedrijven is gesloten en die betrekking heeft op : speciale - sectoropdracht voor leveringen : ;is gesloten;;een schriftelijke overeenkomst onder bezwarende titel ;een of meer speciale-sectorbedrijven;;betrekking heeft op;peciale-sectoropdracht voor leveringen;een schriftelijke overeenkomst onder bezwarende titel ;;;;;;['een', 'schriftelijke', 'overeenkomst', 'onder', 'bezwarende', 'titel', 'die', 'tussen', 'een', 'of', 'meer', 'leveranciers', 'en', 'een', 'of', 'meer', 'speciale', '-', 'sectorbedrijven', 'is', 'gesloten', 'en', 'die', 'betrekking', 'heeft', 'op', ':', 'speciale', '-', 'sectoropdracht', 'voor', 'leveringen', ':'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'REC', 'REC', 'REC', 'REC', '-', 'REC', 'V', 'V', 'O', 'O', 'V', 'V', 'V', ':', 'OBJ', '-', 'OBJ', 'OBJ', 'OBJ', ':']
430;84;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_59;Onderdeelb;;;;de levering van producten en die slechts zijdeling betrekking heeft op werkzaamheden voor het aanbrengen en installeren van die levering;betrekking heeft op; werkzaamheden voor het aanbrengen en installeren van die levering;de levering van producten;;;;;;;;;;;['de', 'levering', 'van', 'producten', 'en', 'die', 'slechts', 'zijdeling', 'betrekking', 'heeft', 'op', 'werkzaamheden', 'voor', 'het', 'aanbrengen', 'en', 'installeren', 'van', 'die', 'levering'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'O', 'V', 'V', 'V', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ']
431;85;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_60;;;18-4-2019;jci1.3:c:BWBR0032203&deel=1&hoofdstuk=1.1&artikel=1.1&z=2019-04-18&g=2019-04-18;een schriftelijke overeenkomst onder bezwarende titel die tussen een of meer aannemers en een of meer speciale - sectorbedrijven is gesloten en die betrekking heeft op : speciale - sectoropdracht voor werken : ;is gesloten;een of meer aannemers en een of meer speciale-sectorbedrijve;een schriftelijke overeenkomst onder bezwarende titel;;;betrekking heeft op;peciale-sectoropdracht voor werken;een schriftelijke overeenkomst onder bezwarende titel;;;;;;['een', 'schriftelijke', 'overeenkomst', 'onder', 'bezwarende', 'titel', 'die', 'tussen', 'een', 'of', 'meer', 'aannemers', 'en', 'een', 'of', 'meer', 'speciale', '-', 'sectorbedrijven', 'is', 'gesloten', 'en', 'die', 'betrekking', 'heeft', 'op', ':', 'speciale', '-', 'sectoropdracht', 'voor', 'werken', ':'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OJB', '-', 'OBJ', 'V', 'V', 'O', 'O', 'V', 'V', 'V', ':', 'OBJ', '-', 'OBJ', 'OBJ', 'OBJ', ':']
432;86;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_60;Onderdeela;;18-4-2019;jci1.3:c:BWBR0032203&deel=1&hoofdstuk=1.1&artikel=1.1&z=2019-04-18&g=2019-04-18;de uitvoering of het ontwerp en de uitvoering van werken die betrekking hebben op een van de in bijlage I van richtlijn 2014 / 25 / EU bedoelde activiteiten , ;betrekking hebben op;een van de in bijlage I van richtlijn 2014/25/EU bedoelde activiteite;de uitvoering of het ontwerp en de uitvoering van werken ;;;;;;;;;;;['de', 'uitvoering', 'of', 'het', 'ontwerp', 'en', 'de', 'uitvoering', 'van', 'werken', 'die', 'betrekking', 'hebben', 'op', 'een', 'van', 'de', 'in', 'bijlage', 'I', 'van', 'richtlijn', '2014', '/', '25', '/', 'EU', 'bedoelde', 'activiteiten', ','];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'V', 'V', 'V', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', '2014', '/', '25', '/', 'OBJ', 'OBJ', 'OBJ', ',']
434;88;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_60;Onderdeelc;;;;het laten uitvoeren met welke middelen dan ook van een werk dat voldoet aan de eisen van het speciale - sectorbedrijf dat een beslissende invloed uitoefent op het soort werk of het ontwerp van het werk;voldoet;e eisen van het speciale-sectorbedrijf ;een werk;;;uitoefent op;het soort werk of het ontwerp van het werk;;;;;;;['het', 'laten', 'uitvoeren', 'met', 'welke', 'middelen', 'dan', 'ook', 'van', 'een', 'werk', 'dat', 'voldoet', 'aan', 'de', 'eisen', 'van', 'het', 'speciale', '-', 'sectorbedrijf', 'dat', 'een', 'beslissende', 'invloed', 'uitoefent', 'op', 'het', 'soort', 'werk', 'of', 'het', 'ontwerp', 'van', 'het', 'werk'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'O', 'V', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', '-', 'OBJ', 'O', 'O', 'O', 'O', 'V', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ']
435;89;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_61;;;;;een recht dat bij wettelijk voorschrift of bij besluit van een bestuursorgaan aan een onderneming wordt verleend ,  waarbij voor die onderneming het recht wordt voorbehouden om binnen een bepaald geografisch gebied een dienst te verrichten of een activiteit uit te oefenen; wordt verleend;;een recht dat bij wettelijk voorschrift of bij besluit van een bestuursorgaan;een onderneming;;wordt voorbehouden;het recht om binnen een bepaald geografisch gebied een dienst te verrichten of een activiteit uit te oefenen;;;;;;;['een', 'recht', 'dat', 'bij', 'wettelijk', 'voorschrift', 'of', 'bij', 'besluit', 'van', 'een', 'bestuursorgaan', 'aan', 'een', 'onderneming', 'wordt', 'verleend', ',', 'waarbij', 'voor', 'die', 'onderneming', 'het', 'recht', 'wordt', 'voorbehouden', 'om', 'binnen', 'een', 'bepaald', 'geografisch', 'gebied', 'een', 'dienst', 'te', 'verrichten', 'of', 'een', 'activiteit', 'uit', 'te', 'oefenen'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'REC', 'REC', 'V', 'V', ',', 'O', 'O', 'O', 'O', 'OBJ', 'OBJ', 'V', 'V', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ']
436;90;Deel1;Hoofdstuk1.1;Artikel1.1;Onderdeel_62;;;18-4-2019;jci1.3:c:BWBR0032203&deel=1&hoofdstuk=1.1&artikel=1.1&z=2019-04-18&g=2019-04-18;het product van het geheel van bouwkundige of civieltechnische werken dat ertoe bestemd is als zodanig een economische of technische functie te vervullen . werk : ;bestemd is te vervullen;;het product van het geheel van bouwkundige of civieltechnische werken;;;;;;;;;;;['het', 'product', 'van', 'het', 'geheel', 'van', 'bouwkundige', 'of', 'civieltechnische', 'werken', 'dat', 'ertoe', 'bestemd', 'is', 'als', 'zodanig', 'een', 'economische', 'of', 'technische', 'functie', 'te', 'vervullen', '.'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'O', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'V', '.']
437;91;Deel1;Hoofdstuk1.1;Artikel1.2;;;;1-4-2013;jci1.3:c:BWBR0032203&deel=1&hoofdstuk=1.1&artikel=1.2&z=2019-04-18&g=2019-04-18;Overheersende invloed als bedoeld in de begripsomschrijving van overheidsbedrijf in  wordt voor de toepassing van het bepaalde bij of krachtens deze wet vermoed indien een aanbestedende dienst ,  al dan niet rechtstreeks ,  ten aanzien van dat bedrijf : artikel 1 . 1; wordt vermoed;;Overheersende invloed als bedoeld in de begripsomschrijving van overheidsbedrijf;;;;;;;;;;;['Overheersende', 'invloed', 'als', 'bedoeld', 'in', 'de', 'begripsomschrijving', 'van', 'overheidsbedrijf', 'in', 'wordt', 'voor', 'de', 'toepassing', 'van', 'het', 'bepaalde', 'bij', 'of', 'krachtens', 'deze', 'wet', 'vermoed', 'indien', 'een', 'aanbestedende', 'dienst', ',', 'al', 'dan', 'niet', 'rechtstreeks', ',', 'ten', 'aanzien', 'van', 'dat', 'bedrijf', ':', 'artikel', '1', '.', '1'];['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', ':', 'O', '1', '.', '1']
438;92;Deel1;Hoofdstuk1.1;Artikel1.2;Onderdeela;;;1-4-2013;jci1.3:c:BWBR0032203&deel=1&hoofdstuk=1.1&artikel=1.2&o=a&z=2019-04-18&g=2019-04-18;de meerderheid van het geplaatste kapitaal bezit , ;bezit;de meerderheid van het geplaatste kapitaa;;;;;;;;;;;;['de', 'meerderheid', 'van', 'het', 'geplaatste', 'kapitaal', 'bezit', ','];['OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', ',']
